Epoch,Train_Loss,Val_MAE,Learning_Rate
1,53.465725,69.287819,0.0000001000
2,53.382364,73.650505,0.0000001000
3,53.246299,72.667259,0.0000001000
4,52.760453,67.778412,0.0000001000
5,49.597338,33.955151,0.0000001000
6,42.732962,44.802868,0.0000001000
7,39.143438,19.010883,0.0000001000
8,35.528209,35.169430,0.0000001000
9,32.322757,23.918034,0.0000001000
10,30.299536,17.534264,0.0000001000
11,29.138356,17.999226,0.0000001000
12,28.245284,22.874607,0.0000001000
13,27.576282,33.152584,0.0000001000
14,27.224567,26.284920,0.0000001000
15,26.502592,39.439819,0.0000001000
16,26.098053,12.770818,0.0000001000
17,25.609714,13.059741,0.0000001000
18,25.406789,24.802679,0.0000001000
19,24.962095,18.969229,0.0000001000
20,24.686766,13.141723,0.0000001000
21,24.372608,13.964634,0.0000001000
22,24.175377,40.888897,0.0000001000
23,23.940335,14.711072,0.0000001000
24,23.680508,13.168210,0.0000001000
25,23.439193,16.716467,0.0000001000
26,23.271329,13.583687,0.0000001000
27,23.077734,13.317375,0.0000001000
28,22.743295,16.944592,0.0000001000
29,22.546071,13.629316,0.0000001000
30,22.444507,16.656103,0.0000001000
31,22.268556,13.478292,0.0000001000
32,22.183535,22.545027,0.0000001000
33,22.110948,10.951966,0.0000001000
34,21.690897,13.468371,0.0000001000
35,21.531831,15.120087,0.0000001000
36,21.557826,32.455910,0.0000001000
37,21.154154,15.508561,0.0000001000
38,21.290716,18.422598,0.0000001000
39,20.979167,11.660253,0.0000001000
40,20.932079,10.838997,0.0000001000
41,20.847100,12.311507,0.0000001000
42,20.547136,15.176650,0.0000001000
43,20.366841,13.114574,0.0000001000
44,20.351710,10.893532,0.0000001000
45,20.158613,10.833117,0.0000001000
46,20.091512,10.999842,0.0000001000
47,19.882064,11.308795,0.0000001000
48,19.928906,10.607728,0.0000001000
49,19.736875,12.334955,0.0000001000
50,19.511588,11.682048,0.0000001000
51,19.363104,12.445117,0.0000001000
52,19.327505,10.391329,0.0000001000
53,19.406316,14.641724,0.0000001000
54,18.961561,10.557078,0.0000001000
55,19.022718,13.088458,0.0000001000
56,18.908756,12.063742,0.0000001000
57,18.708939,10.333744,0.0000001000
58,18.517654,12.487671,0.0000001000
59,18.579118,14.440494,0.0000001000
60,18.336078,10.344673,0.0000001000
61,18.361004,32.555275,0.0000001000
62,18.191870,10.337867,0.0000001000
63,17.972544,10.925919,0.0000001000
64,17.979697,10.214284,0.0000001000
65,18.014920,17.220903,0.0000001000
66,17.798091,10.118085,0.0000001000
67,17.541626,10.571913,0.0000001000
68,17.742027,10.447948,0.0000001000
69,17.356371,10.409227,0.0000001000
70,17.175011,12.231726,0.0000001000
71,17.057905,10.323737,0.0000001000
72,17.001549,14.913912,0.0000001000
73,16.969548,11.865909,0.0000001000
74,16.847845,9.999934,0.0000001000
75,16.641472,9.862071,0.0000001000
76,16.592657,42.362595,0.0000001000
77,16.708182,59.229080,0.0000001000
78,16.528691,24.431784,0.0000001000
79,16.166099,13.422961,0.0000001000
80,16.709201,10.281302,0.0000001000
81,15.963654,11.671472,0.0000001000
82,15.818735,10.401973,0.0000001000
83,15.737141,10.110538,0.0000001000
84,15.525889,10.310194,0.0000001000
85,15.440535,10.183449,0.0000001000
86,15.299774,9.665222,0.0000001000
87,15.149793,10.894417,0.0000001000
88,14.976040,9.743716,0.0000001000
89,14.815095,9.588119,0.0000001000
90,14.747252,9.560420,0.0000001000
91,14.695039,11.184392,0.0000001000
92,14.445458,12.185154,0.0000001000
93,14.495121,39.042690,0.0000001000
94,14.474688,10.837738,0.0000001000
95,14.345583,10.937153,0.0000001000
96,14.615822,9.745743,0.0000001000
97,13.787958,9.773208,0.0000001000
98,14.289211,9.814687,0.0000001000
99,13.535905,9.601693,0.0000001000
100,13.466400,12.036975,0.0000001000
101,13.292938,11.134780,0.0000001000
102,13.185469,9.982805,0.0000001000
103,12.986980,10.667276,0.0000001000
104,12.813492,9.581333,0.0000001000
105,12.720562,10.226296,0.0000001000
106,12.490829,10.585364,0.0000001000
107,12.390129,9.694058,0.0000001000
108,12.259221,11.690448,0.0000001000
109,12.128444,9.598411,0.0000001000
110,12.075585,9.774824,0.0000001000
