Epoch,MAE,RMSE
151,tensor(9.4791),tensor(15.4602)
152,tensor(27.8837),tensor(39.8401)
153,tensor(15.4312),tensor(19.9884)
154,tensor(17.6195),tensor(24.1420)
155,tensor(48.2820),tensor(55.9023)
156,tensor(12.5482),tensor(20.9512)
157,tensor(17.0086),tensor(26.6270)
158,tensor(18.6641),tensor(23.2483)
159,tensor(9.5843),tensor(14.9139)
160,tensor(14.1296),tensor(19.9628)
161,tensor(18.7082),tensor(23.8849)
162,tensor(23.8523),tensor(30.2249)
163,tensor(35.1008),tensor(37.5839)
164,tensor(13.9741),tensor(22.6559)
165,tensor(11.6377),tensor(16.9184)
166,tensor(18.4604),tensor(23.6950)
167,tensor(18.9298),tensor(26.9180)
168,tensor(10.3524),tensor(16.9174)
169,tensor(12.1826),tensor(21.4128)
170,tensor(12.5083),tensor(17.5727)
171,tensor(14.5025),tensor(21.7268)
172,tensor(13.5615),tensor(19.0663)
173,tensor(13.2506),tensor(21.8280)
174,tensor(22.6786),tensor(30.1511)
175,tensor(14.2954),tensor(21.3960)
176,tensor(15.3872),tensor(23.5476)
177,tensor(10.0466),tensor(17.0408)
178,tensor(40.4345),tensor(47.5082)
179,tensor(24.8089),tensor(29.9703)
180,tensor(13.4705),tensor(19.5850)
181,tensor(12.2947),tensor(16.3710)
182,tensor(8.7860),tensor(13.0186)
183,tensor(11.1804),tensor(18.8123)
184,tensor(9.0635),tensor(14.6125)
185,tensor(16.1876),tensor(29.8492)
186,tensor(9.1614),tensor(14.1868)
187,tensor(22.1464),tensor(26.8433)
188,tensor(10.5459),tensor(15.4660)
189,tensor(10.0185),tensor(14.9661)
190,tensor(11.4666),tensor(17.6271)
191,tensor(12.4312),tensor(23.8659)
192,tensor(11.8080),tensor(19.5021)
193,tensor(21.5706),tensor(37.8774)
194,tensor(25.4582),tensor(29.9729)
195,tensor(27.1203),tensor(40.3086)
196,tensor(35.0762),tensor(43.6363)
197,tensor(24.8503),tensor(35.7192)
198,tensor(18.1876),tensor(25.1070)
199,tensor(26.9871),tensor(35.9314)
200,tensor(16.5897),tensor(26.2298)
201,tensor(24.2420),tensor(38.4466)
202,tensor(22.6690),tensor(29.4831)
203,tensor(21.0822),tensor(29.7181)
204,tensor(19.8304),tensor(25.7707)
205,tensor(24.8885),tensor(34.2990)
206,tensor(12.3066),tensor(17.2617)
207,tensor(12.7613),tensor(18.2682)
208,tensor(17.6636),tensor(22.8058)
209,tensor(24.4653),tensor(37.9021)
210,tensor(11.7591),tensor(24.2864)
211,tensor(18.0528),tensor(25.4742)
212,tensor(15.8974),tensor(27.1608)
213,tensor(18.6301),tensor(22.1877)
214,tensor(17.5040),tensor(26.8913)
215,tensor(16.9137),tensor(21.7662)
216,tensor(13.1728),tensor(24.9469)
217,tensor(19.5423),tensor(28.1023)
218,tensor(31.6024),tensor(36.5163)
219,tensor(13.1173),tensor(18.9631)
220,tensor(24.0889),tensor(33.1190)
221,tensor(20.3660),tensor(26.0064)
222,tensor(17.1566),tensor(26.3808)
223,tensor(28.0480),tensor(33.4948)
224,tensor(13.9383),tensor(21.6492)
225,tensor(14.6056),tensor(24.7743)
226,tensor(10.1272),tensor(16.6787)
227,tensor(15.9159),tensor(22.5720)
228,tensor(13.5473),tensor(25.1080)
229,tensor(15.4083),tensor(21.1102)
230,tensor(23.6188),tensor(38.7790)
231,tensor(14.4665),tensor(22.3342)
232,tensor(15.5366),tensor(19.0328)
233,tensor(12.0010),tensor(22.1853)
234,tensor(22.3637),tensor(31.4161)
235,tensor(14.8012),tensor(21.8038)
236,tensor(16.7792),tensor(23.6712)
237,tensor(19.0149),tensor(32.7264)
238,tensor(14.6868),tensor(19.2910)
239,tensor(16.1701),tensor(23.5973)
240,tensor(23.5835),tensor(26.5916)
241,tensor(9.3821),tensor(15.8883)
242,tensor(16.2187),tensor(22.2549)
243,tensor(10.6001),tensor(20.2996)
244,tensor(14.5340),tensor(29.5394)
245,tensor(36.5356),tensor(51.6556)
246,tensor(15.0602),tensor(27.5814)
247,tensor(17.6880),tensor(30.4409)
248,tensor(16.1146),tensor(25.4305)
249,tensor(10.9677),tensor(19.1257)
250,tensor(26.0088),tensor(32.4844)
251,tensor(13.0628),tensor(20.7535)
252,tensor(17.8117),tensor(31.5535)
253,tensor(11.8252),tensor(20.8145)
254,tensor(10.0252),tensor(14.7687)
255,tensor(13.2149),tensor(20.6385)
256,tensor(13.7864),tensor(24.4343)
257,tensor(12.2692),tensor(17.7407)
258,tensor(15.2841),tensor(19.6031)
259,tensor(26.2214),tensor(36.5969)
260,tensor(13.5024),tensor(20.2577)
261,tensor(20.5118),tensor(28.9871)
262,tensor(33.9138),tensor(43.6715)
263,tensor(14.6447),tensor(24.1314)
264,tensor(27.2806),tensor(38.7415)
265,tensor(12.4721),tensor(21.1607)
266,tensor(15.5756),tensor(20.2309)
267,tensor(15.8734),tensor(20.0354)
268,tensor(14.6984),tensor(24.9915)
269,tensor(20.2905),tensor(27.5716)
270,tensor(55.2491),tensor(58.5012)
271,tensor(14.9609),tensor(24.9180)
272,tensor(12.6400),tensor(17.2506)
273,tensor(11.5359),tensor(21.4915)
274,tensor(12.6454),tensor(17.8672)
275,tensor(28.9316),tensor(40.4073)
276,tensor(13.6662),tensor(23.5112)
277,tensor(11.4205),tensor(20.1516)
278,tensor(16.4190),tensor(21.2536)
279,tensor(49.1568),tensor(50.7980)
280,tensor(12.8064),tensor(22.3998)
281,tensor(10.7552),tensor(19.8109)
282,tensor(14.2111),tensor(19.5150)
283,tensor(11.6022),tensor(19.3464)
284,tensor(11.0526),tensor(19.4578)
285,tensor(15.4404),tensor(28.8163)
286,tensor(27.3762),tensor(33.5166)
287,tensor(22.1419),tensor(29.9048)
288,tensor(14.8455),tensor(18.9831)
289,tensor(10.6224),tensor(17.4303)
290,tensor(22.5512),tensor(38.5876)
291,tensor(15.7150),tensor(21.7657)
292,tensor(15.5875),tensor(19.9451)
293,tensor(12.5178),tensor(18.7657)
294,tensor(11.1936),tensor(21.1413)
295,tensor(15.2492),tensor(28.1611)
296,tensor(15.0531),tensor(18.7664)
297,tensor(10.0022),tensor(18.9866)
298,tensor(14.2869),tensor(24.7591)
299,tensor(19.5199),tensor(30.3334)
300,tensor(10.9625),tensor(20.6914)
301,tensor(15.8566),tensor(26.2876)
302,tensor(21.7245),tensor(27.6701)
303,tensor(18.3004),tensor(30.0346)
304,tensor(12.0790),tensor(17.7094)
305,tensor(16.7388),tensor(20.8437)
306,tensor(12.3260),tensor(22.4385)
307,tensor(15.7077),tensor(25.9984)
308,tensor(27.1402),tensor(38.0284)
309,tensor(33.5498),tensor(44.7270)
310,tensor(23.4233),tensor(27.9513)
311,tensor(10.7337),tensor(16.8960)
312,tensor(8.7425),tensor(14.5517)
313,tensor(12.6398),tensor(17.4842)
314,tensor(29.7408),tensor(36.0586)
315,tensor(26.5618),tensor(29.3815)
316,tensor(14.3351),tensor(23.0446)
317,tensor(21.4608),tensor(25.2885)
318,tensor(20.1592),tensor(33.9110)
319,tensor(10.8789),tensor(19.2267)
320,tensor(34.1752),tensor(43.0015)
321,tensor(11.3667),tensor(21.5428)
322,tensor(27.1318),tensor(38.4914)
323,tensor(12.2922),tensor(22.9749)
324,tensor(39.6486),tensor(43.9873)
325,tensor(16.6383),tensor(27.5506)
326,tensor(20.8525),tensor(29.8469)
327,tensor(17.4507),tensor(25.7510)
328,tensor(19.3328),tensor(25.0803)
329,tensor(14.4782),tensor(26.3619)
330,tensor(21.4887),tensor(26.1803)
331,tensor(16.7137),tensor(25.6651)
332,tensor(10.9739),tensor(21.3118)
333,tensor(10.7580),tensor(21.0836)
