Epoch,MAE,RMSE
0,"tensor(128.9100, dtype=torch.float64)","tensor(177.7176, dtype=torch.float64)"
1,"tensor(103.0816, dtype=torch.float64)","tensor(119.8476, dtype=torch.float64)"
2,"tensor(30.7076, dtype=torch.float64)","tensor(50.9762, dtype=torch.float64)"
3,"tensor(39.6924, dtype=torch.float64)","tensor(45.6954, dtype=torch.float64)"
4,"tensor(75.6130, dtype=torch.float64)","tensor(80.6944, dtype=torch.float64)"
5,"tensor(26.1782, dtype=torch.float64)","tensor(31.3283, dtype=torch.float64)"
6,"tensor(72.8808, dtype=torch.float64)","tensor(114.6289, dtype=torch.float64)"
7,"tensor(19.3655, dtype=torch.float64)","tensor(28.4420, dtype=torch.float64)"
8,"tensor(59.1791, dtype=torch.float64)","tensor(79.8070, dtype=torch.float64)"
9,"tensor(27.2814, dtype=torch.float64)","tensor(48.9474, dtype=torch.float64)"
10,"tensor(38.6783, dtype=torch.float64)","tensor(42.4998, dtype=torch.float64)"
11,"tensor(63.4945, dtype=torch.float64)","tensor(80.1558, dtype=torch.float64)"
12,"tensor(244.1747, dtype=torch.float64)","tensor(251.1817, dtype=torch.float64)"
13,"tensor(28.7539, dtype=torch.float64)","tensor(47.0186, dtype=torch.float64)"
14,"tensor(30.8990, dtype=torch.float64)","tensor(42.1624, dtype=torch.float64)"
15,"tensor(11.7115, dtype=torch.float64)","tensor(18.9122, dtype=torch.float64)"
16,"tensor(33.1150, dtype=torch.float64)","tensor(46.0760, dtype=torch.float64)"
17,"tensor(29.9344, dtype=torch.float64)","tensor(38.6265, dtype=torch.float64)"
18,"tensor(50.1511, dtype=torch.float64)","tensor(67.0094, dtype=torch.float64)"
19,"tensor(57.5859, dtype=torch.float64)","tensor(62.3428, dtype=torch.float64)"
20,"tensor(19.9021, dtype=torch.float64)","tensor(26.7220, dtype=torch.float64)"
21,"tensor(44.3488, dtype=torch.float64)","tensor(47.5169, dtype=torch.float64)"
22,"tensor(10.0520, dtype=torch.float64)","tensor(14.4427, dtype=torch.float64)"
23,"tensor(11.6365, dtype=torch.float64)","tensor(17.8488, dtype=torch.float64)"
24,"tensor(22.5409, dtype=torch.float64)","tensor(36.6474, dtype=torch.float64)"
25,"tensor(66.5621, dtype=torch.float64)","tensor(88.9301, dtype=torch.float64)"
