Epoch,Train_Loss,Val_MAE,Learning_Rate
1,291.662762,327.034790,0.0000001000
2,290.642712,268.090118,0.0000001000
3,289.817999,285.062836,0.0000001000
4,234.740679,521.098755,0.0000001000
5,180.041664,139.137421,0.0000001000
6,162.829376,253.561920,0.0000001000
7,151.478920,112.207848,0.0000001000
8,144.053354,101.271988,0.0000001000
9,136.622415,83.254333,0.0000001000
10,130.540498,91.264824,0.0000001000
11,132.759704,120.149940,0.0000001000
12,121.389987,149.860596,0.0000001000
13,123.789545,108.677490,0.0000001000
14,124.863981,279.343475,0.0000001000
15,117.691170,85.093590,0.0000001000
16,110.155283,79.054260,0.0000001000
17,108.021104,94.761871,0.0000001000
18,105.728059,101.203629,0.0000001000
19,107.208292,76.901871,0.0000001000
20,104.587600,74.106544,0.0000001000
21,101.658543,124.145958,0.0000001000
22,102.282735,128.740158,0.0000001000
23,103.422308,78.852463,0.0000001000
24,101.183334,75.024086,0.0000001000
25,100.152038,101.409042,0.0000001000
26,98.471469,97.054794,0.0000001000
27,97.899247,70.700539,0.0000001000
28,95.860030,71.458221,0.0000001000
29,94.893593,73.770035,0.0000001000
30,94.842357,73.953506,0.0000001000
31,95.904527,92.978508,0.0000001000
32,93.140506,75.496048,0.0000001000
33,92.397494,70.117226,0.0000001000
34,91.261613,100.058609,0.0000001000
35,92.990081,88.250984,0.0000001000
36,90.128784,103.205963,0.0000001000
37,89.575077,77.235710,0.0000001000
38,89.976613,71.453316,0.0000001000
39,89.058773,96.007278,0.0000001000
40,89.608990,73.376778,0.0000001000
41,89.168547,121.728050,0.0000001000
42,90.010481,74.456985,0.0000001000
43,86.484376,69.323143,0.0000001000
44,87.964221,113.663269,0.0000001000
45,84.237053,70.937218,0.0000001000
46,83.638260,72.367073,0.0000001000
47,84.059316,104.931000,0.0000001000
48,81.591680,67.945999,0.0000001000
49,81.203609,76.297554,0.0000001000
50,81.291485,79.923721,0.0000001000
51,80.744023,88.344177,0.0000001000
52,80.477026,69.147423,0.0000001000
53,78.425859,70.701584,0.0000001000
54,78.002728,68.056381,0.0000001000
55,78.034975,75.413193,0.0000001000
56,77.595219,76.938309,0.0000001000
57,78.638903,133.639038,0.0000001000
58,76.315641,86.165474,0.0000001000
59,75.689469,81.110764,0.0000001000
60,74.581615,75.838768,0.0000001000
61,73.558461,98.045311,0.0000001000
62,72.262756,69.088707,0.0000001000
63,71.042217,77.203545,0.0000001000
64,70.886844,71.780075,0.0000001000
65,70.445098,83.162010,0.0000001000
66,69.660786,69.930862,0.0000001000
67,68.504303,75.123039,0.0000001000
68,70.390142,95.898140,0.0000001000
