Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
--------------------------------------------------
Epoch   1: MAE= 303.8, MSE= 369.8, Loss=0.00008265
Epoch   2: MAE= 300.0, MSE= 367.8, Loss=0.00008255
Epoch   3: MAE= 340.6, MSE= 392.5, Loss=0.00007941
Epoch   4: MAE= 198.9, MSE= 288.9, Loss=0.00004958
Epoch   5: MAE= 155.3, MSE= 231.4, Loss=0.00004790
Epoch   6: MAE= 289.9, MSE= 417.5, Loss=0.00004593
Epoch   7: MAE= 179.5, MSE= 262.2, Loss=0.00004346
Epoch   8: MAE= 234.4, MSE= 317.1, Loss=0.00004476
Epoch   9: MAE= 128.9, MSE= 198.7, Loss=0.00004119
Epoch  10: MAE= 129.9, MSE= 184.5, Loss=0.00003792
Epoch  11: MAE= 161.1, MSE= 244.6, Loss=0.00003649
Epoch  12: MAE= 233.3, MSE= 306.2, Loss=0.00003715
Epoch  13: MAE= 114.9, MSE= 187.7, Loss=0.00003354
Epoch  14: MAE= 190.7, MSE= 241.6, Loss=0.00003451
Epoch  15: MAE= 117.4, MSE= 181.7, Loss=0.00003190
Epoch  16: MAE= 122.3, MSE= 185.5, Loss=0.00003154
Epoch  17: MAE= 167.8, MSE= 218.7, Loss=0.00003404
Epoch  18: MAE= 109.9, MSE= 171.9, Loss=0.00002967
Epoch  19: MAE= 149.0, MSE= 198.8, Loss=0.00002833
Epoch  20: MAE= 102.1, MSE= 160.7, Loss=0.00002843
Epoch  21: MAE= 114.1, MSE= 188.3, Loss=0.00002744
Epoch  22: MAE= 109.9, MSE= 170.6, Loss=0.00002796
Epoch  23: MAE= 102.7, MSE= 163.2, Loss=0.00002798
Epoch  24: MAE= 137.5, MSE= 217.9, Loss=0.00002807
Epoch  25: MAE= 236.5, MSE= 317.0, Loss=0.00002845
Epoch  26: MAE= 136.7, MSE= 209.7, Loss=0.00002749
Epoch  27: MAE= 124.1, MSE= 174.8, Loss=0.00002817
Epoch  28: MAE= 110.5, MSE= 182.3, Loss=0.00002802
Epoch  29: MAE= 162.5, MSE= 225.5, Loss=0.00002984
Epoch  30: MAE= 196.1, MSE= 254.5, Loss=0.00002914
Epoch  31: MAE=  99.6, MSE= 151.6, Loss=0.00002745
Epoch  32: MAE=  95.9, MSE= 151.6, Loss=0.00002884
Epoch  33: MAE=  95.0, MSE= 151.9, Loss=0.00002733
Epoch  34: MAE= 166.9, MSE= 219.7, Loss=0.00002994
Epoch  35: MAE=  95.4, MSE= 155.2, Loss=0.00002818
Epoch  36: MAE=  94.7, MSE= 145.8, Loss=0.00002827
Epoch  37: MAE= 109.5, MSE= 177.3, Loss=0.00002738
Epoch  38: MAE= 113.9, MSE= 180.0, Loss=0.00002842
Epoch  39: MAE= 101.4, MSE= 151.5, Loss=0.00003000
Epoch  40: MAE= 116.2, MSE= 167.5, Loss=0.00003059
Epoch  41: MAE=  98.4, MSE= 157.0, Loss=0.00002917
Epoch  42: MAE= 107.3, MSE= 154.0, Loss=0.00002954
Epoch  43: MAE=  99.5, MSE= 142.7, Loss=0.00002963
