Epoch,Train_Loss,Val_MAE,Learning_Rate
1,144.167404,269.941803,0.0000001000
2,120.385313,204.377792,0.0000001000
3,60.397850,95.516441,0.0000001000
4,40.484761,126.656593,0.0000001000
5,33.623693,119.094482,0.0000001000
6,32.332027,90.299858,0.0000001000
7,27.640668,168.384720,0.0000001000
8,28.593370,139.939819,0.0000001000
9,24.236064,93.450935,0.0000001000
10,21.717506,118.080681,0.0000001000
11,19.389282,128.206650,0.0000001000
12,19.996017,80.368858,0.0000001000
13,17.744317,86.027557,0.0000001000
14,16.753927,77.844711,0.0000001000
15,16.147609,83.607330,0.0000001000
16,14.388850,74.618073,0.0000001000
17,14.024628,72.513466,0.0000001000
18,13.834254,79.102173,0.0000001000
19,12.936308,81.467346,0.0000001000
20,12.944515,115.940361,0.0000001000
21,12.606113,74.404526,0.0000001000
22,11.411076,83.324799,0.0000001000
23,11.654933,71.216713,0.0000001000
24,11.299478,70.824684,0.0000001000
25,11.730905,71.465820,0.0000001000
26,10.185896,73.225899,0.0000001000
27,11.359724,87.561218,0.0000001000
28,10.556049,70.767532,0.0000001000
29,9.951516,74.863930,0.0000001000
30,9.568821,71.916969,0.0000001000
31,10.016188,76.130608,0.0000001000
32,9.462313,71.886101,0.0000001000
33,8.885523,88.384140,0.0000001000
34,9.799880,149.856567,0.0000001000
35,9.311552,78.147881,0.0000001000
36,9.714185,72.707207,0.0000001000
37,9.786165,73.156197,0.0000001000
38,8.590937,69.553604,0.0000001000
39,8.299815,71.296928,0.0000001000
40,8.345081,69.345856,0.0000001000
41,8.217686,69.322166,0.0000001000
42,8.195813,82.233757,0.0000001000
43,7.959239,69.382088,0.0000001000
44,8.079003,72.811287,0.0000001000
45,7.890617,72.722778,0.0000001000
46,7.620968,70.784485,0.0000001000
47,8.115106,70.736694,0.0000001000
48,7.270233,71.726059,0.0000001000
49,7.486295,73.798843,0.0000001000
50,8.441294,75.424934,0.0000001000
51,7.713717,72.398018,0.0000001000
52,8.304831,69.309944,0.0000001000
53,6.923569,69.858025,0.0000001000
54,6.848840,67.931213,0.0000001000
55,6.716704,87.378151,0.0000001000
56,6.741938,68.700645,0.0000001000
57,6.753137,72.603767,0.0000001000
58,6.742850,69.350365,0.0000001000
59,6.894460,71.238594,0.0000001000
60,6.552989,67.890350,0.0000001000
61,6.771896,83.406265,0.0000001000
62,6.678534,68.282341,0.0000001000
63,6.384252,67.755455,0.0000001000
64,6.913431,67.992203,0.0000001000
65,6.006519,69.306313,0.0000001000
66,6.169786,71.778542,0.0000001000
67,5.918007,67.961456,0.0000001000
68,5.937732,69.350166,0.0000001000
69,6.430917,72.518372,0.0000001000
70,5.873794,68.591370,0.0000001000
71,7.343027,68.545135,0.0000001000
72,6.011317,68.585457,0.0000001000
73,6.051620,67.816864,0.0000001000
74,5.751668,67.466087,0.0000001000
75,5.950226,70.215179,0.0000001000
76,5.506214,67.923737,0.0000001000
77,5.745946,70.589012,0.0000001000
78,5.392948,67.883400,0.0000001000
79,5.435094,69.997643,0.0000001000
80,6.169332,69.615440,0.0000001000
81,6.685207,91.318459,0.0000001000
82,6.479785,69.328835,0.0000001000
83,5.374985,74.567841,0.0000001000
84,6.209737,72.703224,0.0000001000
85,5.693564,68.604691,0.0000001000
86,5.117596,71.573822,0.0000001000
87,5.001330,73.573685,0.0000001000
88,5.144495,68.709297,0.0000001000
89,5.025728,77.620049,0.0000001000
90,5.191976,86.442741,0.0000001000
91,5.346361,68.692009,0.0000001000
92,5.194479,68.499107,0.0000001000
93,4.871804,69.107697,0.0000001000
94,5.028566,69.059326,0.0000001000
