Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
Epoch  91: MAE=  78.2, MSE= 128.8, Loss=0.00003661
Epoch  92: MAE=  77.3, MSE= 120.5, Loss=0.00003675
Epoch  93: MAE=  82.2, MSE= 136.9, Loss=0.00003643
Epoch  94: MAE=  93.1, MSE= 139.4, Loss=0.00003852
Epoch  95: MAE=  87.9, MSE= 131.9, Loss=0.00003842
Epoch  96: MAE=  88.0, MSE= 140.4, Loss=0.00003808
Epoch  97: MAE=  80.7, MSE= 131.5, Loss=0.00003739
Epoch  98: MAE=  79.8, MSE= 124.7, Loss=0.00004030
Epoch  99: MAE= 112.8, MSE= 175.3, Loss=0.00003533
Epoch 100: MAE=  92.0, MSE= 147.0, Loss=0.00003762
Epoch 101: MAE=  77.8, MSE= 122.1, Loss=0.00003962
Epoch 102: MAE=  77.8, MSE= 122.0, Loss=0.00003805
Epoch 103: MAE=  89.3, MSE= 139.6, Loss=0.00003778
Epoch 104: MAE= 105.7, MSE= 150.0, Loss=0.00003822
Epoch 105: MAE=  75.8, MSE= 121.7, Loss=0.00003862
Epoch 106: MAE=  79.3, MSE= 120.8, Loss=0.00004213
Epoch 107: MAE=  75.0, MSE= 121.6, Loss=0.00003936
Epoch 108: MAE=  83.0, MSE= 124.7, Loss=0.00004092
Epoch 109: MAE=  76.6, MSE= 119.2, Loss=0.00004136
Epoch 110: MAE=  80.5, MSE= 122.3, Loss=0.00004238
Epoch 111: MAE=  91.4, MSE= 132.2, Loss=0.00004302
Epoch 112: MAE=  79.7, MSE= 121.1, Loss=0.00004229
Epoch 113: MAE=  75.8, MSE= 118.7, Loss=0.00003947
Epoch 114: MAE=  90.7, MSE= 134.1, Loss=0.00004532
Epoch 115: MAE=  80.9, MSE= 135.8, Loss=0.00004034
Epoch 116: MAE=  79.0, MSE= 120.1, Loss=0.00004333
Epoch 117: MAE= 115.7, MSE= 171.9, Loss=0.00004194
Epoch 118: MAE=  98.9, MSE= 141.1, Loss=0.00004296
Epoch 119: MAE=  78.4, MSE= 124.5, Loss=0.00004096
Epoch 120: MAE=  77.6, MSE= 130.2, Loss=0.00004012
Epoch 121: MAE=  87.1, MSE= 142.1, Loss=0.00004092
Epoch 122: MAE=  89.0, MSE= 128.6, Loss=0.00004460
Epoch 123: MAE=  75.8, MSE= 119.6, Loss=0.00004188
Epoch 124: MAE=  80.1, MSE= 122.4, Loss=0.00004611
Epoch 125: MAE=  76.1, MSE= 124.4, Loss=0.00004314
Epoch 126: MAE=  77.0, MSE= 118.2, Loss=0.00004822
Epoch 127: MAE=  94.9, MSE= 138.5, Loss=0.00004402
